Fecha (UTC),Estrategia,Motor,Modo (A/B/C),Propuesta Activa,Clase de Activo,Simbolo,Lado,Cantidad,Precio ($),Volumen ($),P&L Realizado ($),ID Orden
14/04/2026 21:43,SmartTWAPAccum,crypto,B,market-news-analyst (Filtro Noticias),crypto,BTC/USD,BUY,0.0002,74081.134,14.82,-,5926e34f-b486-4cb1-810c-b4f6d6e2e6a1
14/04/2026 21:43,EMATrendCrossover,crypto,B,market-news-analyst (Filtro Noticias),crypto,BTC/USD,SELL,0.0001995,74013.53,14.77,0.2057,a169c564-16cb-4f3c-bd8e-2953b7b3f1fd
14/04/2026 21:47,EMATrendCrossover,crypto,B,market-news-analyst (Filtro Noticias),crypto,BTC/USD,BUY,0.0002,74076.667,14.82,-,9c651d34-d1df-4030-add1-a8f932d9e4c0
14/04/2026 21:47,BollingerVolatilityBreak,crypto,B,market-news-analyst (Filtro Noticias),crypto,ETH/USD,BUY,0.0068,2320.574,15.78,-,3ac73b1e-45ea-47c8-931d-be5b3833c9aa
14/04/2026 21:54,EMATrendCrossover,crypto,B,market-news-analyst (Filtro Noticias),crypto,BTC/USD,BUY,0.0002,74250,14.85,-,f01f5059-5cb1-47b1-82cf-d141f7a11b5b
14/04/2026 22:54,EMATrendCrossover,crypto,B,market-news-analyst (Filtro Noticias),crypto,BTC/USD,BUY,0.0002,74149.46,14.83,-,f4583c28-a26b-45a0-8888-a43dd3d96bad
15/04/2026 00:01,EMATrendCrossover,crypto,B,market-news-analyst (Filtro Noticias),crypto,BTC/USD,BUY,0.0002,74300.9,14.86,-,2fa6b47c-6009-4e07-88eb-9819359184d5
15/04/2026 00:56,SmartTWAPAccum,crypto,B,market-news-analyst (Filtro Noticias),crypto,BTC/USD,BUY,0.0002,74548.7,14.91,-,5c319e60-6580-49c6-a55f-da7fcc9b57f6
15/04/2026 15:32,SmartTWAPAccum,crypto,C,us-stock-analysis (Scoring Dinámico),crypto,BTC/USD,BUY,0.0002,73754.674,14.75,-,ed8ff11f-c1af-46a9-941e-810a3d30871a
16/04/2026 03:12,SmartTWAPAccum,crypto,C,us-stock-analysis (Scoring Dinámico),crypto,BTC/USD,BUY,0.0002,75025.11,15.01,-,57a9ed73-23ea-45ca-aa4f-715d83b7262b
16/04/2026 03:53,EMATrendCrossover,crypto,C,us-stock-analysis (Scoring Dinámico),crypto,BTC/USD,BUY,0.0002,74920.367,14.98,-,88914b68-ff4b-4d5f-b6e3-20cf4bf271b3
16/04/2026 04:01,SmartTWAPAccum,crypto,C,us-stock-analysis (Scoring Dinámico),crypto,BTC/USD,BUY,0.0002,74915.81,14.98,-,8d20d0e4-e439-44f5-a1eb-94a05ce54938
16/04/2026 13:00,EMATrendCrossover,crypto,A,market-environment-analysis (Régimen),crypto,BTC/USD,BUY,0.0002,74666.1,14.93,-,5bd2e02d-fd2d-460d-beb7-434c38cd97c5
16/04/2026 13:08,EMATrendCrossover,crypto,A,market-environment-analysis (Régimen),crypto,BTC/USD,BUY,0.0002,74776.6,14.96,-,c829df98-bc77-405f-9169-bcbed477068b
